Country,Unit cost for price of lowest economy brand of formula per 900-gram container (US$)
Afghanistan,Not Available
Albania,Not Available
Algeria,13.41
American Samoa,Not Available
Andorra,Not Available
Angola,Not Available
Antigua and Barbuda,Not Available
Argentina,11.64
Armenia,18.78
Aruba,20.67
Australia,22.54
Austria,15.55
Azerbaijan,36.17
"Bahamas, The",16.99
Bahrain,22.11
Bangladesh,30.15
Barbados,22.49
Belarus,19.14
Belgium,13.62
Belize,Not Available
Benin,Not Available
Bermuda,43.69
Bhutan,Not Available
Bolivia,Not Available
Bosnia and Herzegovina,Not Available
Botswana,11.41
Brazil,13.49
British Virgin Islands,Not Available
Brunei,Not Available
Bulgaria,16.31
Burkina Faso,Not Available
Burundi,Not Available
Cabo Verde,Not Available
Cambodia,14.63
Cameroon,Not Available
Canada,17.8
Cayman Islands,Not Available
Central African Republic,Not Available
Chad,Not Available
Channel Islands,Not Available
Chile,37.83
China,15.9
Colombia,37.17
Comoros,Not Available
Congo,Not Available
Costa Rica,23.68
Côte d'Ivoire,Not Available
Croatia,20.67
Cuba,Not Available
Curacao,Not Available
Cyprus,18.17
Czech Republic,15.05
Democratic Republic of the Congo,Not Available
Denmark,12.7
Djibouti,Not Available
Dominica,Not Available
Dominican Republic,12.12
Ecuador,Not Available
Egypt,29.25
El Salvador,18.49
Equatorial Guinea,Not Available
Eritrea,Not Available
Estonia,14.37
Ethiopia,Not Available
Faroe Islands,Not Available
Fiji,12.29
Finland,10.68
France,14.31
French Polynesia,Not Available
Gabon,Not Available
"Gambia, The",Not Available
Georgia,Not Available
Germany,14.96
Ghana,19.21
Gibraltar,21.42
Greece,19.99
Greenland,Not Available
Grenada,Not Available
Guam,Not Available
Guatemala,Not Available
Guinea,Not Available
Guinea-Bissau,Not Available
Guyana,Not Available
Haiti,Not Available
Honduras,Not Available
"Hong Kong SAR, China",31.35
Hungary,11.81
Iceland,Not Available
India,12.88
Indonesia,8.66
"Iran, Islamic Rep.",Not Available
Iraq,Not Available
Ireland,12.63
Isle of Man,Not Available
Israel,20.56
Italy,22.44
Jamaica,28.75
Japan,14.85
Jordan,Not Available
Kazakhstan,Not Available
Kenya,29.28
Kiribati,Not Available
"Korea, Dem. People’s Rep.",Not Available
"Korea, Rep.",16.91
Kosovo,Not Available
Kuwait,22.1
Kyrgyzstan,Not Available
Laos,Not Available
Latvia,11.56
Lebanon,15.26
Lesotho,Not Available
Liberia,Not Available
Libya,Not Available
Liechtenstein,Not Available
Lithuania,13.47
Luxembourg,13.93
"Macao SAR, China",Not Available
"Macedonia, FYR",Not Available
Madagascar,Not Available
Malawi,Not Available
Malaysia,13.77
Maldives,Not Available
Mali,Not Available
Malta,15.53
Marshall Islands,Not Available
Mauritania,Not Available
Mauritius,9.88
Mexico,13.84
"Micronesia, Fed. Sts.",Not Available
Moldova,Not Available
Monaco,Not Available
Mongolia,13.7
Montenegro,Not Available
Morocco,Not Available
Mozambique,Not Available
Myanmar,15.48
Namibia,Not Available
Nauru,Not Available
Nepal,10.83
Netherlands,6.86
New Caledonia,Not Available
New Zealand,13.95
Nicaragua,Not Available
Niger,Not Available
Nigeria,25.14
Northern Mariana Islands,Not Available
Norway,19.47
Oman,Not Available
Pakistan,15.54
Palau,Not Available
Panama,16.81
Papua New Guinea,Not Available
Paraguay,Not Available
Peru,43.59
Philippines,10.9
Poland,13.13
Portugal,15.8
Puerto Rico,Not Available
Qatar,20.26
Romania,15.65
Russia,18.61
Rwanda,25.9
Samoa,17.32
San Marino,Not Available
Sao Tome and Principe,Not Available
Saudi Arabia,16.8
Senegal,Not Available
Serbia,14.06
Seychelles,Not Available
Sierra Leone,Not Available
Singapore,21.75
Sint Maarten (Dutch part),Not Available
Slovak Republic,Not Available
Slovenia,Not Available
Solomon Islands,Not Available
Somalia,Not Available
South Africa,8.7
South Sudan,Not Available
Spain,12.39
Sri Lanka,18.88
St. Kitts and Nevis,Not Available
St. Lucia,Not Available
St. Martin (French part),Not Available
St. Vincent and the Grenadines,Not Available
Sudan,Not Available
Suriname,Not Available
Swaziland,9.01
Sweden,12
Switzerland,27.47
Syria,Not Available
Tajikistan,Not Available
Tanzania,Not Available
Thailand,27.63
Timor-Leste,Not Available
Togo,Not Available
Tonga,Not Available
Trinidad and Tobago,16.15
Tunisia,27.41
Turkey,22.78
Turkmenistan,Not Available
Turks and Caicos Islands,Not Available
Tuvalu,Not Available
Uganda,25.43
Ukraine,28.12
United Arab Emirates,21.37
United Kingdom,17.19
United States,17.61
Uruguay,Not Available
Uzbekistan,Not Available
Vanuatu,Not Available
Venezuela,Not Available
Viet Nam,40.03
Virgin Islands (U.S.),Not Available
West Bank and Gaza,Not Available
"Yemen, Rep.",Not Available
Zambia,10.17
Zimbabwe,15.39
