emergency,year,real_gni_pc_const_usd,pop_group
Eta-Iota,1980,2631.9451520497814,14263155.000000004
Eta-Iota,1981,2471.44200215582,14654640.000000002
Eta-Iota,1982,2269.2474897384627,15026046.000000006
Eta-Iota,1983,2179.1751851663694,15442838.999999996
Eta-Iota,1984,2202.835040342628,15867944
Eta-Iota,1985,2129.3373158396184,16297879.000000004
Eta-Iota,1986,2140.849182633095,16733660.999999996
Eta-Iota,1987,2144.023090609706,17179447.000000007
Eta-Iota,1988,2190.5837927837474,17643585
Eta-Iota,1989,2172.8584578073446,18121735
Eta-Iota,1990,2144.1944821682987,18609933
Eta-Iota,1991,2227.8585167648403,19097534
Eta-Iota,1992,2259.7240934294023,19599618.000000004
Eta-Iota,1993,2347.0598160903132,20111176
Eta-Iota,1994,2102.3621429443897,20635054
Eta-Iota,1995,2176.2568742957556,21160647
Eta-Iota,1996,2126.52415469266,21681820.999999993
Eta-Iota,1997,2208.573079762662,22209089.999999993
Eta-Iota,1998,2342.659389115366,22725153
Eta-Iota,1999,2342.596344727762,23256342
Eta-Iota,2000,2393.9921870662433,23775340.99999999
Eta-Iota,2001,2385.9334082274536,24304298.000000007
Eta-Iota,2002,2387.2841785395703,24833239.999999993
Eta-Iota,2003,2380.2482152032053,25357652.000000004
Eta-Iota,2004,2395.200906610974,25886480.000000007
Eta-Iota,2005,2423.425931446221,26417729.999999993
Eta-Iota,2006,2469.811437627385,26957103.999999996
Eta-Iota,2007,2570.0801119516505,27499939.999999993
Eta-Iota,2008,2603.512943255683,28038004.000000007
Eta-Iota,2009,2614.7252061178892,28576700.000000004
Eta-Iota,2010,2629.1365147289357,29122874.000000004
Eta-Iota,2011,2704.903383219467,29674148.000000007
Eta-Iota,2012,2736.606241699692,30228411
Eta-Iota,2013,2723.317462127461,30776984
Eta-Iota,2014,2802.182803675446,31323539.999999993
Eta-Iota,2015,2945.3766397521654,31864880.99999999
Eta-Iota,2016,3009.653987765538,32417191
Eta-Iota,2017,3072.6486366871877,32955001.999999993
Eta-Iota,2018,3045.0679563967865,33475514.000000007
Eta-Iota,2019,3120.5925356721245,33982667.00000001
Eta-Iota,2020,3029.82094427396,34498086.999999985
Eta-Iota,2021,3164.0278748401797,34976651
Eta-Iota,2022,3173.190164159911,35473668.00000001
Eta-Iota,2023,3010.9351602681686,35990601.00000001
Eta-Iota,2024,3037.524422550191,36530129.99999999
Eta-Iota,2025,3064.348491904138,37065492
Eta-Iota,2026,3091.409441887366,37598459
Eta-Iota,2027,3118.7093643686403,38124219.99999999
Eta-Iota,2028,3146.2503696898066,38645002
Eta-Iota,2029,3174.0345868288905,39161526.99999999
Eta-Iota,2030,3202.0641635647517,39672164
Eta-Iota,2031,3230.3412666430213,40176611.00000001
Eta-Iota,2032,3258.8680819436745,40675130.00000001
Eta-Iota,2033,3287.646814649971,41166148.000000015
Eta-Iota,2034,3316.6796894188847,41650823
Eta-Iota,2035,3345.9689505531555,42127829
Eta-Iota,2036,3375.5168621746857,42595523
Eta-Iota,2037,3405.3257083996436,43054886.00000001
Eta-Iota,2038,3435.3977935149956,43507085
Eta-Iota,2039,3465.7354421565947,43948993
Eta-Iota,2040,3496.340999488966,44380826.99999998
Eta-Iota,2041,3527.216831386496,44802069
Eta-Iota,2042,3558.365324616415,45212988
Eta-Iota,2043,3589.7888870232036,45613176.99999998
Eta-Iota,2044,3621.489947714809,46002261.000000015
Eta-Iota,2045,3653.4709572503853,46381417
Eta-Iota,2046,3685.7343878296842,46749601.99999999
Eta-Iota,2047,3718.282733484257,47106768
Eta-Iota,2048,3751.118510270139,47453984.99999999
Eta-Iota,2049,3784.244256462441,47790425.99999999
Eta-Iota,2050,3817.662532751525,48117337
Eta-Iota,2051,3851.375922440907,48432885.00000001
Eta-Iota,2052,3885.3870316470475,48739272
Eta-Iota,2053,3919.698489500704,49035101.99999999
Eta-Iota,2054,3954.3129483502594,49319814
Eta-Iota,2055,3989.2330839667175,49593651
Eta-Iota,2056,4024.4615957505002,49855754
Eta-Iota,2057,4060.0012069402183,50105317.999999985
Eta-Iota,2058,4095.8546648230667,50344134
Eta-Iota,2059,4132.024740947313,50571419.999999985
Eta-Iota,2060,4168.514231336429,50786765
Eta-Iota,2061,4205.3259567053265,50987979
Eta-Iota,2062,4242.462762678366,51177675.00000001
Eta-Iota,2063,4279.927520009282,51355483
Eta-Iota,2064,4317.723124803204,51519864.00000001
Eta-Iota,2065,4355.85249874041,51671418.99999997
Eta-Iota,2066,4394.3185893022865,51810350
Eta-Iota,2067,4433.124369999127,51936597
Eta-Iota,2068,4472.272840599947,52049774.999999985
Eta-Iota,2069,4511.767027364479,52150996
Eta-Iota,2070,4551.609983276984,52240188.99999999
Eta-Iota,2071,4591.804788282365,52317042.000000015
Eta-Iota,2072,4632.354549524206,52382783
Eta-Iota,2073,4673.262401584909,52436218.999999985
Eta-Iota,2074,4714.531506728123,52477679.999999985
Eta-Iota,2075,4756.1650551430575,52506829
Eta-Iota,2076,4798.166265191227,52525020.99999998
Eta-Iota,2077,4840.5383836551,52532977.000000015
Eta-Iota,2078,4883.284685989202,52530650.000000015
Eta-Iota,2079,4926.408476573269,52519060.999999985
Eta-Iota,2080,4969.913088967618,52496959.99999999
Migration flows,1980,3290.3397222667813,48030054.999999985
Migration flows,1981,3199.1414596177615,49198071
Migration flows,1982,3094.602391322961,50392352.99999999
Migration flows,1983,2908.342567298038,51621685.00000001
Migration flows,1984,2954.631009865406,52851510.999999985
Migration flows,1985,2977.9954195215555,54069614.999999985
Migration flows,1986,3137.5611382320626,55298594.99999999
Migration flows,1987,3251.7022440546034,56541686.00000001
Migration flows,1988,3087.4018578108917,57815594.999999985
Migration flows,1989,2936.643090103694,59106612
Migration flows,1990,2938.0082914233535,60420838.000000015
Migration flows,1991,2966.608790697684,61684204.99999999
Migration flows,1992,2931.967796941618,62977914.99999996
Migration flows,1993,3002.0549380670573,64273000.999999985
Migration flows,1994,3258.7885829273255,65590306.000000015
Migration flows,1995,3397.51117074471,66873670.00000001
Migration flows,1996,3394.2694395851718,68159182
Migration flows,1997,3488.845064550794,69443705
Migration flows,1998,3406.099946738551,70698650
Migration flows,1999,3287.0335352937204,71930625
Migration flows,2000,3272.9990390608923,73121974
Migration flows,2001,3221.215604595439,74259316.00000001
Migration flows,2002,3276.24409059799,75357603.99999997
Migration flows,2003,3330.1441609804274,76408213.00000001
Migration flows,2004,3468.2363983906002,77442960.00000003
Migration flows,2005,3608.3553119703347,78422680.00000001
Migration flows,2006,3878.195350112039,79375695.99999997
Migration flows,2007,4157.058956060999,80287164.99999999
Migration flows,2008,4369.360392417491,81159384.99999997
Migration flows,2009,4397.172530068492,82041707
Migration flows,2010,4702.921720685893,82951518.00000001
Migration flows,2011,5059.334040087165,83866732.99999999
Migration flows,2012,5275.490163904658,84782011.99999999
Migration flows,2013,5499.88522998141,85692780
Migration flows,2014,5629.478800691105,86626709.99999999
Migration flows,2015,5681.110826625661,87625483.00000001
Migration flows,2016,5745.210806717315,88813580.00000003
Migration flows,2017,5828.451747852404,90354417.99999999
Migration flows,2018,5895.461958500403,92193093.00000001
Migration flows,2019,5983.5007807587735,93749098.99999996
Migration flows,2020,5416.757405787452,94965263.99999999
Migration flows,2021,6006.274454300964,96055494.00000001
Migration flows,2022,6225.386985127914,96657450.00000001
Migration flows,2023,5924.594996982357,97405917.99999999
Migration flows,2024,6039.819598493866,98161331
Migration flows,2025,6157.2851479183555,98939696
Migration flows,2026,6277.035228374993,99744198.99999996
Migration flows,2027,6399.114270610263,100561307
Migration flows,2028,6523.567569482715,101370562.00000001
Migration flows,2029,6650.44130076902,102167036.99999999
Migration flows,2030,6779.782538296158,102946320.99999999
Migration flows,2031,6911.639271407544,103703939.00000001
Migration flows,2032,7046.060422768079,104437768.00000003
Migration flows,2033,7183.095866516266,105148065
Migration flows,2034,7322.796446768565,105831869.00000004
Migration flows,2035,7465.213996484433,106493312.99999999
Migration flows,2036,7610.401356697494,107130463.00000003
Migration flows,2037,7758.412396121245,107741465
Migration flows,2038,7909.302031136075,108326313.99999999
Migration flows,2039,8063.126246164446,108885531
Migration flows,2040,8219.94211444318,109422470.99999996
Migration flows,2041,8379.80781919883,109933155.99999999
Migration flows,2042,8542.782675235803,110417545.00000003
Migration flows,2043,8708.927150943397,110876947
Migration flows,2044,8878.302890731806,111310140.00000003
Migration flows,2045,9050.972737903487,111721905.00000001
Migration flows,2046,9227.000757970349,112109712.00000003
Migration flows,2047,9406.452262423403,112472778
Migration flows,2048,9589.393832965732,112811053.00000003
Migration flows,2049,9775.893346215767,113123390.00000004
Migration flows,2050,9966.019998891683,113414049.99999999
Migration flows,2051,10159.844333485582,113679647.99999999
Migration flows,2052,10357.438264436323,113919956.00000001
Migration flows,2053,10558.875104812423,114138656
Migration flows,2054,10764.229593512746,114336222
Migration flows,2055,10973.577922997394,114509399.99999999
Migration flows,2056,11186.997767556708,114663699.99999997
Migration flows,2057,11404.568312131298,114797594
Migration flows,2058,11626.370281691316,114904100.99999997
Migration flows,2059,11852.485971188396,114988318.00000001
Migration flows,2060,12082.999276088824,115046872.99999999
Migration flows,2061,12317.995723501826,115084060.99999997
Migration flows,2062,12557.562503912035,115098498.00000001
Migration flows,2063,12801.788503529919,115089109.00000001
Migration flows,2064,13050.76433727142,115057445.99999997
Migration flows,2065,13304.58238237807,115002084.99999999
Migration flows,2066,13563.336812692372,114923955
Migration flows,2067,13827.123633598252,114821818.00000001
Migration flows,2068,14096.040717642614,114697568.99999999
Migration flows,2069,14370.187840848108,114550824
Migration flows,2070,14649.66671973371,114382012
Migration flows,2071,14934.58104905369,114191087.99999999
Migration flows,2072,15225.03654027219,113978659.00000001
Migration flows,2073,15521.140960784405,113744868.00000003
Migration flows,2074,15823.00417390225,113491485.00000003
Migration flows,2075,16130.738179616083,113218041.00000001
Migration flows,2076,16444.45715615025,112923615.00000001
Migration flows,2077,16764.277502326873,112612958.99999999
Migration flows,2078,17090.317880752376,112285923.00000001
Migration flows,2079,17422.699261845675,111941679.00000003
Migration flows,2080,17761.54496872075,111583160.00000001
