ref_area,indicator,source,time,obs_value,obs_status
AFG,LAP_2GDP_NOC_RT,XA:2198,2020,44.971,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2019,44.022,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2018,44.452,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2017,44.277,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2016,44.367,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2015,44.52,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2014,44.371,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2013,43.986,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2012,42.981,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2011,44.805,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2010,42.827,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2009,41.845,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2008,44.423,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2007,43.026,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2006,44.286,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2005,43.467,I
AFG,LAP_2GDP_NOC_RT,XA:2198,2004,44.917,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2020,44.899,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2019,43.282,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2018,42.822,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2017,42.466,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2016,41.988,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2015,44.644,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2014,37.321,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2013,40.654,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2012,43.79,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2011,46.875,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2010,47.672,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2009,57.367,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2008,40.617,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2007,38.955,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2006,37.914,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2005,37.591,I
AGO,LAP_2GDP_NOC_RT,XA:2010,2004,44.876,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2020,46.589,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2019,44.835,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2018,44.153,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2017,44.261,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2016,44.467,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2015,44.879,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2014,45.04,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2013,45.352,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2012,45.259,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2011,45.499,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2010,45.626,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2009,45.579,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2008,43.897,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2007,44.194,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2006,44.044,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2005,44.004,I
ALB,LAP_2GDP_NOC_RT,XA:2137,2004,44.12,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2020,39.829,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2019,36.418,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2018,34.626,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2017,36.19,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2016,36.104,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2015,34.108,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2014,28.581,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2013,27.951,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2012,25.71,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2011,25.239,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2010,28.247,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2009,25.728,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2008,23.173,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2007,22.759,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2006,20.275,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2005,21.922,I
ARE,LAP_2GDP_NOC_RT,XA:1978,2004,23.542,I
ARG,LAP_2GDP_NOC_RT,XA:1868,2020,53.591,
ARG,LAP_2GDP_NOC_RT,XA:1868,2019,53.443,
ARG,LAP_2GDP_NOC_RT,XA:1868,2018,55.878,
ARG,LAP_2GDP_NOC_RT,XA:1868,2017,58.962,M
ARG,LAP_2GDP_NOC_RT,XA:1868,2016,59.617,M
ARG,LAP_2GDP_NOC_RT,XA:1868,2015,58.757,M
ARG,LAP_2GDP_NOC_RT,XA:1868,2014,59.798,M
ARG,LAP_2GDP_NOC_RT,XA:1868,2013,58.913,
ARG,LAP_2GDP_NOC_RT,XA:1868,2012,56.956,
ARG,LAP_2GDP_NOC_RT,XA:1868,2011,52.314,
ARG,LAP_2GDP_NOC_RT,XA:1868,2010,49.294,
ARG,LAP_2GDP_NOC_RT,XA:1868,2009,50.243,
ARG,LAP_2GDP_NOC_RT,XA:1868,2008,45.941,
ARG,LAP_2GDP_NOC_RT,XA:1868,2007,42.397,
ARG,LAP_2GDP_NOC_RT,XA:1868,2006,41.468,
ARG,LAP_2GDP_NOC_RT,XA:1868,2005,40.594,
ARG,LAP_2GDP_NOC_RT,XA:1868,2004,38.723,
ARM,LAP_2GDP_NOC_RT,XA:1931,2020,54.239,
ARM,LAP_2GDP_NOC_RT,XA:1931,2019,51.666,
ARM,LAP_2GDP_NOC_RT,XA:1931,2018,51.43,
ARM,LAP_2GDP_NOC_RT,XA:1931,2017,52.629,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2016,53.573,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2015,52.844,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2014,52.282,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2013,52.649,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2012,53.383,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2011,54.743,M
ARM,LAP_2GDP_NOC_RT,XA:1931,2010,55.398,M
